Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
61;124;CEIP JOSE CALVO SOTELO;AV/ CIUDAD DE BARCELONA, 83;442826;4472467;404.008.413.126.834;-36.737.662.524.006.700;;educativo; JMD Retiro ; Retiro ;7;OHL;03/03/2019
62;750;CEIP CIUDAD DE ROMA;C/ JUAN ESPLANDIÚ,2 ;443564;4474129;4.041.586.394.930.110;-3.665.205.626.185.560;;educativo; JMD Retiro ; Retiro ;40;OHL;03/03/2019
63;2391;CMM LA ESTRELLA - CARMEN MARTÍN GAITE;C/ PEZ AUSTRAL 6 - 28007 MADRID;443476;4473852;4.041.337.871.863.890;-36.662.090.478.322.400;;social; JMD Retiro ; Retiro ;12,5;;23/10/2016
64;1035;CMM/CENTRO DIA/CSS LA GUINDALERA;C/ PILAR DE ZARAGOZA, 28, Bajo;443247;4476088;4.043.349.910.050.290;-36.691.167.784.691.700;;social; JMD Salamanca ; Salamanca ;3,7;FERROVIAL;20/09/2018
65;35;CC Y BIBLIOTECA BUENAVISTA;AV DE LOS TOREROS, 5;443092;4475923;4.043.200.210.571.460;-36.709.293.330.780.200;;cultural; JMD Salamanca ; Salamanca ;7,15;FERROVIAL;13/11/2018
66;2074;CC JOSE LUIS LÓPEZ VÁZQUEZ;C/ FEBRERO, 4;451431;4477509;40.446.818.592.300.200;-3.572.741.163.820.910;;cultural; JMD San Blas Canillejas ; San Blas Canillejas ;15;DRAGADOS;19/11/2018
67;1974;JMD SAN BLAS;AV/ DE ARCENTALES, 26;448295;4476161;4.043.448.586.473.580;-36.096.102.461.466.000;;administrativo; JMD San Blas Canillejas ; San Blas Canillejas ;37,5;DRAGADOS;07/03/2019
68;2033;CDM ANTONIO DÍAZ MIGUEL;C/JOAQUIN DICENTA, 1 ;441058;4480296;40.471.254.265.861.400;-36.953.256.978.963.800;;deportivo; JMD Tetuán ; Tetuán ;25;;15/01/2018
69;2011;CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO;PLAZA DE DONOSO, 5;440857;4480052;4.046.903.299.144.090;-36.976.620.067.964.900;;cultural; JMD Tetuán ; Tetuán ;27,5;FERROVIAL;12/11/2018
70;1026;CSS SAN FILIBERTO;C/ SAN FILIBERTO, 5 BJ ;439298;4470826;4.038.581.767.783.420;-37.151.818.881.165.200;;social; JMD Usera ; Usera ;12,5;AURA;05/03/2018
71;1096;CMM ORCASUR;AV ORCASUR, 64;440559;4468845;4.036.805.374.722.890;-3.700.129.656.851.360;;social; JMD Usera ; Usera ;8,2;AURA;19/02/2018
72;1095;CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ; PLAZA PUEBLO, 1 BJ1;440472;4468702;40.366.768.324.753.400;-3.701.141.063.083.800;;cultural; JMD Usera ; Usera ;30;AURA;16/10/2018
73;1092;JMD USERA;AV/. RAFAELA YBARRA, 41;439670;4470445;4.038.241.253.009.170;-37.107.515.747.822.300;;administrativo; JMD Usera ; Usera ;5;AURA;14/12/2018
